,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0008499,"('Rebecca Randall', 'actress')","('Adam Ladd', 'actor')","('Hannah Randall', 'actress')","('Mr. Cobb', 'actor')","('Emma Jane Perkins', 'actress')",,,,,,,,,,,,,
0008519,"('Jenny Lawrence', 'actress')","(""'Black' Brown, Road Agent"", 'actor')","('Sam Sparks', 'actor')","('Dick Roland', 'actor')",,,,,,,,,,,,,,
0008536,"('Pastor Talnoks; his son Sandro', 'actor')","(""Esfir, Pavel's wife"", 'actress')","('Pavel, painter, hunchback', 'actor')","('Satan', 'actor')","('Inga', 'actress')",,,,,,,,,,,,,
0008634,"('Cheyenne Harry', 'actor')","('Thunder Flint', 'actor')","('Sweet Water Sims', 'actor')","('Joan Sims', 'actress')","('Ted Sims', 'actor')","('Sam Turner aka Danny Morgan', 'actor')","('Black-Eye Pete', 'actor')",,,,,,,,,,,
0008652,"('Charles Darnay', 'actor')","('Sydney Carton', 'actor')","('Lucie Manette', 'actress')","('Marquis St.Evenmonde', 'actor')","('Jacques Defarge', 'actor')",,,,,,,,,,,,,
0008663,"('Terje Vigen', 'actor')","('The Lord', 'actor')","('The Lady', 'actress')","('Mrs. Vigen', 'actress')",,,,,,,,,,,,,,
0008672,"('Thomas Graal', 'actor')","('Bessie Douglas', 'actress')","('Alexander Douglas', 'actor')","('Clotilde Douglas', 'actress')","('Johan', 'actor')","('Beyron', 'actor')",,,,,,,,,,,,
0008679,"('Tillie Tinkelpaw', 'actress')","('J. Mortimer Pipkins', 'actor')","('Henry Tinkelpaw', 'actor')","('Mrs. Luella Pipkins', 'actress')","('Mrs. Nosey', 'actress')","('Mr. Nosey', 'actor')",,,,,,,,,,,,
0008687,"(""Thomas 'Tom' Sawyer"", 'actor')","('Sid Sawyer', 'actor')","('Mary Sawyer', 'actress')","('Aunt Polly', 'actress')","('Huckleberry Finn', 'actor')","('Joe Harper', 'actor')","('Becky Thatcher', 'actress')",,,,,,,,,,,
0008710,"('Helga', 'actress')","('Judge', 'actor')","('Constable', 'actor')","(""Hildur's Father"", 'actor')",,,,,,,,,,,,,,
0008775,"('Jeff Hillington', 'actor')","('Nell Larabee', 'actress')","('Tom Larabee - Hotel Keeper', 'actor')","('Pedro', 'actor')",,,,,,,,,,,,,,
0008827,"('Amarilly Jenkins', 'actress')","('Terry McGowen', 'actor')","('Mrs. Americus Jenkins', 'actress')","('Mrs. David Phillips', 'actress')","('Gordon Phillips', 'actor')","('Johnny Walker', 'actor')",,,,,,,,,,,,
0008843,"('Tímár Mihály', 'actor')","('Krisztyán Tódor', 'actor')","('Noémi', 'actress')","('Tmea,Csorbadzsi lánya', 'actress')",,,,,,,,,,,,,,
0008854,"('Ma', 'actress')","('Albert Wendland, a Painter', 'actor')","('Radu, an Arab', 'actor')","('Prince Hohenfels', 'actor')",,,,,,,,,,,,,,
0008879,"('Outlaw', 'actor')","('Kári', 'actor')","('Halla the Widow', 'actress')","('Arnes the Immigrant Worker', 'actor')","(""Bailiff Björn Bergstéinsson, Halla's Brother-in-law"", 'actor')",,,,,,,,,,,,,
0008891,"('Mytyl', 'actress')","('Tyltyl', 'actor')","('Daddy Tyl', 'actor')","('Mummy Tyl', 'actress')",,,,,,,,,,,,,,
0008930,"(""Midge O'Hara"", 'actress')","('Cherry Blow', 'actress')","('Henry Rockwell', 'actor')","('Jack Chalvey', 'actor')","('Elmer Watkins', 'actor')","('Mrs.Watkins', 'actress')",,,,,,,,,,,,
0008950,"('Carmen', 'actress')","('Don José Navarro', 'actor')","('Garcia', 'actor')","('Dolores', 'actress')",,,,,,,,,,,,,,
0009014,"('Composer Enric Damor', 'actor')","(""Frederic 'Fred' Ryce"", 'actor')","('Eve Dinant', 'actress')","('Le marquis de Croix St-Blaise', 'actor')",,,,,,,,,,,,,,
0009062,"('Alex von Reizenstein', 'actor')","('Quabbe - der Gaoler', 'actor')","('Egon Storch', 'actor')","('Alice von Reizenstein', 'actress')","('Mizi - die Magd', 'actress')",,,,,,,,,,,,,
0009086,"('San San', 'actress')","('Toy', 'actress')","('John Worden', 'actor')","('Wong Li', 'actor')","('Mandarin', 'actor')",,,,,,,,,,,,,
0009150,"('The Girl - Marie Stephenson', 'actress')","('The Little Disturber', 'actress')","('The Boy - Douglas Gordon Hamilton', 'actor')","('The Grandfather', 'actor')","('The Mother', 'actress')","('The Father of the Boy', 'actor')","('The Mother of the Boy', 'actress')","(""The Boy's Littlest Brother"", 'actor')",,,,,,,,,,
0009153,"('Cheyenne Harry', 'actor')","('Cimmaron Bill', 'actor')","('Bess Thurston', 'actress')","('Jack Thurston', 'actor')",,,,,,,,,,,,,,
